"","var","sd"
"1","CarChap",0.0501036963330304
"2","PRI570",0.0822805189455393
"3","PRI531",0.0848573831304776
"4","PRI512",0.100868645479151
"5","TDVI",0.110828277940893
"6","FRI2",0.118968858322312
"7","IPVI",0.121488703000271
"8","PRI586",0.129246040797709
"9","RDVI",0.134852780970973
"10","ChlDela",0.13883371197931
"11","BIG2",0.191868674746511
"12","SIPI",0.211699842168105
"13","GNDVI",0.216574422181975
"14","FRI1",0.216753961848426
"15","NDVI705",0.224542309763128
"16","VOG2",0.230112617349602
"17","NPCI",0.249181656582971
"18","NDRE",0.253166587607813
"19","ND900_680",0.253513241005402
"20","ND900_680",0.253513241005402
"21","Car2Black",0.260354728229583
"22","RENDVI",0.268780136408355
"23","Lic1",0.27413902902455
"24","SAVI",0.290496460730495
"25","OSAVI",0.291202018599394
"26","NDVI1",0.300939924540327
"27","HI",0.337702905710133
"28","mRESR",0.345305123944927
"29","Lic3",0.376006301040489
"30","Crt2",0.387918146447044
"31","SRPI",0.392598411635414
"32","NPQI",0.392598411635414
"33","VOG3",0.393822098764827
"34","MTVI2",0.397849043851091
"35","SBRI",0.408422742611298
"36","MNLI",0.41900585946895
"37","AntGamon",0.423457832920092
"38","TCARI",0.435933193052433
"39","MTVI",0.446445886923133
"40","Lic2",0.542651250691208
"41","ETA",0.612177476667097
"42","MCARI",0.620129945661961
"43","VOG1",0.695922742769527
"44","MCARI1",0.760103471318626
"45","DVI",0.761073696299162
"46","SR700_670",0.809133813296624
"47","PMI",0.827652287653025
"48","G",0.887062838798739
"49","Car1Black",0.985519896869418
"50","ChlIndex",1.65232656023577
"51","CLSI",1.71330649403259
"52","SR750_710",2.15460289211377
"53","GDVI",2.19880396070892
"54","MSR",2.2536408577631
"55","GMI2",6.91503392172202
"56","GMI1",10.273954095376
"57","GRVI",14.0235758589948
"58","SR900_680",18.7878569832148
"59","ARVI",423.80518454149
"60","EVI",7953.65876392095
"61","GARI",8179.7396229964
"62","VARI",166929.764184735
"63","mRENDVI",389302.346128952
"64","msR705",11455172.1489487
